Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,JAVASCRIPT,TYPESCRIPT,REACT,VUE,ANGULAR,HTML_CSS,WEBPACK,NODEJS
"Senior back-end NodeJS developer (Web3, cryptography)",https://hh.ru/vacancy/118572551,Мамаева Ирина Анатольевна,до 6000 USD,От 3 до 6 лет,Да,0,0,1,0,1,0,1,0,0,0,0,0,1
Аналитик в компанию разработки ПО,https://hh.ru/vacancy/116572432,МЦ-Сервис Инжиниринг,от 160000 до 195000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Python разработчик AI-агентов,https://hh.ru/vacancy/117571552,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,1,0,1,1,0,1,0,0,0,0,0
Системный аналитик в банк,https://hh.ru/vacancy/118557093,WMT,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик C# (MatchCenter),https://hh.ru/vacancy/118186417,Tennisi,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик-разработчик BI,https://hh.ru/vacancy/118659914,ДОМ.РФ,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Ruby on Rails разработчик (SaaS),https://hh.ru/vacancy/109484804,Appbooster,от 300000 RUR,Более 6 лет,Да,0,0,0,0,1,0,0,0,0,0,0,0,0
"Cистемный аналитик в Мобильный МойСклад (iOS, Android)",https://hh.ru/vacancy/119059965,МойСклад,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
"Начальник Отдела сопровождения РКО, ГОЗ и интеграции АБС",https://hh.ru/vacancy/119056922,Банк НОВИКОМ,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior .NET C# back-end разработчик,https://hh.ru/vacancy/117752843,ОНТАРГЕТ,от 350000 RUR,От 3 до 6 лет,Да,0,0,1,0,0,0,1,0,1,0,0,0,0
"Менеджер по продажам (IT Sales, тёплые продажи)",https://hh.ru/vacancy/117684962,iSpring,от 120000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Архитектор (инсоляция),https://hh.ru/vacancy/118649352,ПИК-специализированный застройщик,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack-разработчик,https://hh.ru/vacancy/116086822,Генотек,до 250000 RUR,От 3 до 6 лет,Да,0,0,0,0,1,0,0,1,0,1,0,0,1
Ведущий специалист Rs-Retail,https://hh.ru/vacancy/118994907,R-Style Softlab (Эр-Стайл Софтлаб),не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
"Программист (C++, SQL, Oracle)",https://hh.ru/vacancy/118614203,R-Style Softlab (Эр-Стайл Софтлаб),не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Системный аналитик (команда Sber911),https://hh.ru/vacancy/117494449,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0,0
Специалист по инсоляции,https://hh.ru/vacancy/119011236,ПИК-специализированный застройщик,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Специалист отдела поддержки фронт-офисных информационных систем,https://hh.ru/vacancy/119037858,Группа страховых компаний Югория,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
BI аналитик - разработчик,https://hh.ru/vacancy/118543804,Консалтика,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack-разработчик (битрикс),https://hh.ru/vacancy/118352146,Мегаперфюме,от 150000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,1,0,1,1,0
Инженер по качеству (Огородный проезд),https://hh.ru/vacancy/118848161,Брусника,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack Developer (JavaScript),https://hh.ru/vacancy/118254263,Комлоджик,не указана,От 1 года до 3 лет,Да,0,0,0,0,1,1,1,0,0,0,0,0,1
Senior System Analist (Старший Системный Аналитик),https://hh.ru/vacancy/118709773,ECOS,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0,0
Senior Go Developer/Go Tech Lead в Security Gate,https://hh.ru/vacancy/119019540,VK,не указана,Более 6 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,0,0
Senior Full Stack PHP-разработчик,https://hh.ru/vacancy/117027585,Система Геткурс,не указана,От 3 до 6 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0,0
Разработчик ETL (Корпоративные резервы),https://hh.ru/vacancy/118714476,Т1,не указана,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик,https://hh.ru/vacancy/118314560,АЛЬФАКОМ,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0,0
Менеджер по продажам (Enterprise),https://hh.ru/vacancy/117206287,iSpring,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senior C# разработчик (Web, .Net, full stack)",https://hh.ru/vacancy/115786471,"Эверис, Представительство",не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,1,0,0,0,0,0
Разработчик 1С (+ backend / API),https://hh.ru/vacancy/118566055,Вбетон,от 250000 до 300000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,1,0,0,0,0,1
"Программист (C++, SQL)",https://hh.ru/vacancy/118504903,R-Style Softlab (Эр-Стайл Софтлаб),не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack-разработчик,https://hh.ru/vacancy/118327626,Азиатско-Тихоокеанский Банк,не указана,От 3 до 6 лет,Да,0,0,0,0,1,1,0,0,0,0,0,0,0
Full-stack разработчик middle (C# + Angular),https://hh.ru/vacancy/116784766,Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области,не указана,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,1,1,0,0
Lead of Design System,https://hh.ru/vacancy/118259610,Домклик,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
SRE/DevOps-инженер,https://hh.ru/vacancy/118068430,Премиум Бонус,не указана,От 3 до 6 лет,Да,0,1,1,0,1,0,1,0,0,0,0,0,1
"Руководитель проекта Отдела сопровождения РКО, ГОЗ и интеграции АБС",https://hh.ru/vacancy/117962639,Банк НОВИКОМ,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Java developer (команда WebServices),https://hh.ru/vacancy/118614018,HeadHunter,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
