Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
Senior Data Scientist,https://hh.ru/vacancy/119246695,МегаФон,не указана,От 3 до 6 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0
MLops/DevOps-инженер,https://hh.ru/vacancy/119395127,Бриф,от 400000 до 500000 RUR,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist (Цифровой двойник КИБ),https://hh.ru/vacancy/116768763,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
Team Lead Data Scientist,https://hh.ru/vacancy/119284524,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0
"Старший Data Scientist, Эффективность рекламы",https://hh.ru/vacancy/115496430,Ozon,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Главный специалист ML-аналитики,https://hh.ru/vacancy/119328588,СОГАЗ,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior Computer vision/Machine learning,https://hh.ru/vacancy/117691421,Инфотек,не указана,От 3 до 6 лет,Да,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0
Data Scientist (аналитик-разработчик) в модерацию рекламы,https://hh.ru/vacancy/118191844,Яндекс,не указана,От 3 до 6 лет,Нет,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0
Программист Data Science (распознавание речи),https://hh.ru/vacancy/118805041,1С,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
С++ Developer в команду машинного обучения,https://hh.ru/vacancy/119040166,VK,не указана,От 3 до 6 лет,Да,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Python ML engineer,https://hh.ru/vacancy/119492151,Aston,не указана,От 1 года до 3 лет,Нет,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Ведущий эксперт по безопасности ML,https://hh.ru/vacancy/115396059,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Data analyst ( Мiddle/Middle+ ),https://hh.ru/vacancy/119125140,РСХБ-Интех,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ML-разработчик в команду поиска и рекомендаций Маркета,https://hh.ru/vacancy/119501976,Яндекс,не указана,От 3 до 6 лет,Нет,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Инженер по внедрению AI и разработке чат-ботов,https://hh.ru/vacancy/118186061,ИЦ АЙ-ТЕКО,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Science TeamLead в команду рекомендаций,https://hh.ru/vacancy/119729974,АВИТО ТЕХ,не указана,Более 6 лет,Нет,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
ML-research,https://hh.ru/vacancy/119451109,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Senior MLE в Speech-Lab,https://hh.ru/vacancy/119217282,Контур,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Тимлид MLE в команду лояльности Плюса,https://hh.ru/vacancy/119637688,Яндекс,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Системный архитектор ML,https://hh.ru/vacancy/118893992,RDP.RU,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Machine Learning Engineer/MLOps,https://hh.ru/vacancy/118357275,Международная медиагруппа Россия сегодня (МИА Россия сегодня),не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist (Rec. system),https://hh.ru/vacancy/118718574,Okko,не указана,От 3 до 6 лет,Нет,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0
Team Lead Data Scientist (Залоговая экспертиза),https://hh.ru/vacancy/119071282,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
ML Engineer Uplift и Causal Inference (Exp. Platform),https://hh.ru/vacancy/118718617,Okko,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
С++ Developer в команду ML-технологий,https://hh.ru/vacancy/119040743,VK,не указана,От 3 до 6 лет,Да,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Data Science Engineer/ Machine Learning Engineer,https://hh.ru/vacancy/116174806,АстраЗенека,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Менеджер по коммерции персональных предложений,https://hh.ru/vacancy/119029907,Пятёрочка,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle/Senior Data Scientist в команду ETA/RTA,https://hh.ru/vacancy/118298668,2ГИС,не указана,От 3 до 6 лет,Да,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0
Менеджер по маркетингу (Менеджер по коммерции персональных предложений),https://hh.ru/vacancy/118968051,Пятёрочка,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML Architect (Архитектор ML-проектов),https://hh.ru/vacancy/119381701,Инфосистемы Джет,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Senior Data Scientist (Search & Recommendation),https://hh.ru/vacancy/117704951,Циан,не указана,От 3 до 6 лет,Да,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Lead DS в команду антифрода,https://hh.ru/vacancy/112317136,Газпромбанк,не указана,От 3 до 6 лет,Да,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Lead Data Scientist,https://hh.ru/vacancy/118001535,ЭР-Телеком,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0
Data Scientist (Анализ цены),https://hh.ru/vacancy/115718008,Домклик,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0
Стажер-аналитик,https://hh.ru/vacancy/119175523,Яндекс,не указана,Нет опыта,Да,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Senior Data scientist (Управление рисками корпоративных клиентов),https://hh.ru/vacancy/118724443,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Senior BI Analyst,https://hh.ru/vacancy/119157946,МойСклад,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/118827373,билайн,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Middle/Senior Data Scientist в области рекомендательных систем,https://hh.ru/vacancy/118702290,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0
AI-driven Data Scientist (GameDev),https://hh.ru/vacancy/118777216,Kometa.Games,не указана,От 3 до 6 лет,Нет,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Senior ML-инженер (Recommendation Systems),https://hh.ru/vacancy/118605376,WILDBERRIES,не указана,От 3 до 6 лет,Да,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1
"ML Developer в cлужбу рекомендаций Дзен, Москва (офис)",https://hh.ru/vacancy/119339041,VK,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Data-analyst (office Belgrade),https://hh.ru/vacancy/117788939,STARTRIBE LTD,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior ML Engineer / Data scientist (Ведущий ML-инженер),https://hh.ru/vacancy/119377776,Инфосистемы Джет,не указана,От 3 до 6 лет,Да,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
Anti-fraud Senior Machine Learning Engineer,https://hh.ru/vacancy/112317050,Газпромбанк,не указана,От 3 до 6 лет,Да,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Технический менеджер проектов YTsaurus (разработка ML Platform),https://hh.ru/vacancy/119677910,Яндекс,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Data Scientist/ ML Engineer на Интеллектуальную платформу коммуникации,https://hh.ru/vacancy/118276459,X5 Tech,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Главный эксперт по безопасной разработке (MLSecOps),https://hh.ru/vacancy/118296846,Альфа-Банк,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель направления антифрод-аналитики,https://hh.ru/vacancy/119023319,МФК Займер,не указана,От 3 до 6 лет,Да,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Team Lead Data Scientist (Персонификация),https://hh.ru/vacancy/119583125,билайн,не указана,От 3 до 6 лет,Да,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Middle/Senior Data Scientist / ML Engineer в команду Прогноза промо-продаж,https://hh.ru/vacancy/109711513,X5 Tech,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Ведущий менеджер AI (Data Scientist),https://hh.ru/vacancy/119113026,билайн,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Senior Data Scientist (NLP ML Autotasking),https://hh.ru/vacancy/119277888,АВИТО ТЕХ,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Team lead ML RecSys,https://hh.ru/vacancy/107412663,Звук,не указана,От 3 до 6 лет,Да,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
"Senior Data Scientist в команду ""Разработка AI-решений БСР""",https://hh.ru/vacancy/119609626,СБЕР,не указана,От 3 до 6 лет,Да,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0
Старший инженер R&D,https://hh.ru/vacancy/118908902,ИнфоТеКС,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель направления Уход от массового промо,https://hh.ru/vacancy/118991914,Пятёрочка,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Lead MLOps,https://hh.ru/vacancy/118953755,Звук,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior/Team Lead Data Scientist,https://hh.ru/vacancy/119498854,РТ-Информационная безопасность,не указана,От 3 до 6 лет,Нет,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
Senior Data Scientist (Recommendations),https://hh.ru/vacancy/118725307,Lamoda Tech,не указана,От 3 до 6 лет,Нет,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Data Scientist,https://hh.ru/vacancy/119075965,Корпоративный университет Сбербанка,не указана,От 1 года до 3 лет,Нет,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0
Ведущий эксперт по безопасности ML (GenAI),https://hh.ru/vacancy/119545148,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Senior ML Engineer (Uplift), группа ""Search""",https://hh.ru/vacancy/118718008,Okko,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Senior Data Scientist/ML Engineer (команда SmartSearch),https://hh.ru/vacancy/119500510,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Senior Data Scientist (Recommender Systems),https://hh.ru/vacancy/115557998,FunCorp,от 5000 до 6500 EUR,От 3 до 6 лет,Да,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Автор на курс ""Специалист по Data Science""",https://hh.ru/vacancy/118562501,Яндекс Практикум,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0
Senior Data Scientist/ML Engineer (команда SmartSearch),https://hh.ru/vacancy/116788944,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Автор курса «MLOps»,https://hh.ru/vacancy/116796844,Яндекс Практикум,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
