Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
MLOps Engineer,https://hh.ru/vacancy/119661454,Ингосстрах,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Аналитик IDM в команду Identity & Access Management,https://hh.ru/vacancy/119237073,Т-Банк,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Старший исследователь-психолог (Лаборатория нейронаук и поведения человека),https://hh.ru/vacancy/119241792,СБЕР,не указана,Более 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Инженер MLOps,https://hh.ru/vacancy/118825402,ГКУ Инфогород,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Machine Learning Engineer в VK Рекламу,https://hh.ru/vacancy/119690485,VK,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Менеджер по продажам ИТ (WEB, AI)",https://hh.ru/vacancy/119452576,AVE Technologies,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Руководитель направления по кибербезопасности ИИ,https://hh.ru/vacancy/119122608,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Продуктовый аналитик,https://hh.ru/vacancy/119191856,Teamline Consult,от 250000 RUR,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TL Data Scientist,https://hh.ru/vacancy/117519659,Платформа ОФД,до 459000 RUR,Более 6 лет,Нет,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
Аналитик-исследователь AI-технологий (Центр методологии и популяризации Data science),https://hh.ru/vacancy/119444320,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
