Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,SECURITY,PENTEST,OWASP,SIEM,NETWORK,CRYPTO,COMPLIANCE
Бизнес-аналитик,https://hh.ru/vacancy/119090060,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Разработчик Java/Kotlin (Middle/Senior),https://hh.ru/vacancy/118126708,Клауд Солюшенс,не указана,От 3 до 6 лет,Нет,0,0,0,0,1,1,0,0,0,0,0,0
Менеджер по продажам IT-продуктов,https://hh.ru/vacancy/118144665,HR Store (ИП Шибанова Дарья Рафаиловна),от 90000 до 500000 RUR,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель управления внедрения,https://hh.ru/vacancy/119024271,INFOWATCH,не указана,Более 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Начальник сектора по эксплуатации оконечного оборудования,https://hh.ru/vacancy/119101122,ГБУ Финансово-Хозяйственное Управление,от 200000 до 200000 RUR,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Разработчик данных,https://hh.ru/vacancy/118169778,IT_One,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Специалист группы сопровождения расходных договоров,https://hh.ru/vacancy/118990698,Солар,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель проектного офиса,https://hh.ru/vacancy/118642651,Positive Technologies,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
IT Архитектор,https://hh.ru/vacancy/119085325,SberTech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер продукта,https://hh.ru/vacancy/115180003,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Frontend разработчик,https://hh.ru/vacancy/118152001,Клауд Солюшенс,не указана,Более 6 лет,Нет,1,0,1,0,1,1,0,0,0,0,0,0
DevOps-инженер,https://hh.ru/vacancy/119115442,Нейроинформ,не указана,От 3 до 6 лет,Да,0,0,1,0,1,0,0,0,0,0,0,0
Юрист с функциями администратора,https://hh.ru/vacancy/118916063,Кибердом,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Sales & Business Development Manager,https://hh.ru/vacancy/118877862,Have Marketing,от 2500 до 4000 USD,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Senior Kotlin/Java Developer,https://hh.ru/vacancy/118244572,Xello,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,1,0,0,0
Системный администратор,https://hh.ru/vacancy/119040755,BI.ZONE,не указана,От 3 до 6 лет,Да,0,1,0,0,0,1,0,0,0,0,0,0
B2B-маркетолог/Менеджер по маркетингу,https://hh.ru/vacancy/119070911,Swordfish Security,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Стажёр-программист С++ (Linux),https://hh.ru/vacancy/118644825,Zecurion,не указана,Нет опыта,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Эксперт по нормативно-правой работе (GR, ИБ)",https://hh.ru/vacancy/119041583,Солар,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
