URL,Name,Area,PYTHON,SQL,PANDAS,NUMPY,АЛГОРИТМЫ И СТРУКТУРЫ ДАННЫХ,GIT,MS SQL,BIG DATA,PYTORCH,POSTGRESQL,CLICKHOUSE,MLFLOW,SCIKIT-LEARN,TENSORFLOW,MLOPS,LINUX,АНГЛИЙСКИЙ ЯЗЫК,DEEP LEARNING,МАТЕМАТИЧЕСКАЯ СТАТИСТИКА,КЛАССИЧЕСКОЕ МАШИННОЕ ОБУЧЕНИЕ,COMPUTER VISION,OPENCV,ML,APACHE AIRFLOW,JUPYTER NOTEBOOK,UML,XGBOOST,DOCKER,СБОР ТРЕБОВАНИЙ,ТЕОРИЯ ВЕРОЯТНОСТЕЙ,AMPLITUDE,CATBOOST,PLOTLY,MATPLOTLIB,PYSPARK,MONGODB,SCIPY,KERAS,SEABORN,MACHINE LEARNING,DATA SCIENCE,ИССЛЕДОВАТЕЛЬСКИЙ АНАЛИЗ ДАННЫХ,НЕЙРОННЫЕ СЕТИ,МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ,АНАЛИЗ ДАННЫХ,СТАТИСТИЧЕСКИЙ АНАЛИЗ,ВАЛИДАЦИЯ МОДЕЛЕЙ,МОДЕЛЬНЫЙ РИСК,IT,РАЗРАБОТКА ПОИСКОВЫХ ТЕХНОЛОГИЙ,JAVA,APACHE KAFKA,REDIS,HADOOP,APACHE HIVE,TABLEAU,GRAFANA,МАШИННОЕ ОБУЧЕНИЕ,NLP,CV,ВИЗУАЛИЗАЦИЯ ДАННЫХ,AI,RECSYS,SPARK,POWER BI,APACHE SPARK,KUBERNETES,DATA ANALYSIS,LLM,GREENPLUM,CI/CD,R,DWH,GITLAB
https://hh.ru/vacancy/112331201,Data scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117854215,Аналитик данных,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117800583,Deep Learning/Computer Vision Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117747850,GTM Data Scientist Internship,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117868268,Data Scientist Team Lead,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117336243,Junior Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117195300,Специалист по валидации моделей (Junior Data Scientist) Управления модельных рисков и валидации,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117853740,Data Scientist (Shipping),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117835206,"Java разработчик, Поисковая платформа",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://hh.ru/vacancy/117824009,Junior Data Scientist (Персонификация),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
